CLASE;TIEMPO
U_SALIENTES;12,222973
U_SALIENTES;26,296194
U_SALIENTES;18,317980
U_SALIENTES;21,259714
U_SALIENTES;17,636953
U_SALIENTES;11,255534
U_ENTRANTES;60,080349
U_SALIENTES;32,788620
U_ENTRANTES;65,251312
U_SALIENTES;19,693024
U_ENTRANTES;91,293922
U_ENTRANTES;52,316624
U_ENTRANTES;52,399391
U_SALIENTES;47,306606
U_SALIENTES;29,632792
TRIPULACION;71,766251
U_SALIENTES;31,364737
U_ENTRANTES;64,484016
U_SALIENTES;18,256721
U_SALIENTES;18,209137
U_SALIENTES;35,269821
U_SALIENTES;26,197659
U_ENTRANTES;76,472389
U_SALIENTES;53,248257
U_ENTRANTES;53,215847
U_SALIENTES;69,553810
U_SALIENTES;19,367403
U_SALIENTES;44,013474
U_ENTRANTES;54,268776
U_ENTRANTES;66,668243
U_SALIENTES;42,330822
U_ENTRANTES;84,423912
U_ENTRANTES;56,498680
U_SALIENTES;48,047234
U_ENTRANTES;95,297569
U_ENTRANTES;60,253262
U_ENTRANTES;74,110176
U_SALIENTES;77,835884
U_ENTRANTES;61,479923
U_SALIENTES;42,129971
U_ENTRANTES;84,978676
U_ENTRANTES;42,196484
U_ENTRANTES;46,838497
U_ENTRANTES;47,660137
U_SALIENTES;21,697515
U_SALIENTES;43,026512
U_ENTRANTES;59,935802
U_SALIENTES;52,417824
U_ENTRANTES;51,162075
U_ENTRANTES;50,781208
U_SALIENTES;35,688602
U_ENTRANTES;43,002762
U_SALIENTES;27,660500
U_SALIENTES;17,825932
U_ENTRANTES;48,397526
U_ENTRANTES;45,208740
U_SALIENTES;19,398954
U_ENTRANTES;60,310188
U_ENTRANTES;55,137257
U_SALIENTES;26,419868
U_SALIENTES;65,790215
U_SALIENTES;35,935482
U_ENTRANTES;50,010551
U_ENTRANTES;56,143730
U_ENTRANTES;70,758553
U_SALIENTES;34,937283
U_ENTRANTES;53,037121
U_ENTRANTES;74,779213
U_SALIENTES;20,639904
U_ENTRANTES;55,576809
U_ENTRANTES;48,273788
U_ENTRANTES;41,842678
U_SALIENTES;23,946308
U_ENTRANTES;52,260010
U_SALIENTES;38,136425
U_SALIENTES;63,009594
U_SALIENTES;35,928528
U_ENTRANTES;55,047207
U_ENTRANTES;57,661499
U_SALIENTES;28,118557
U_ENTRANTES;52,475136
U_SALIENTES;21,314968
U_SALIENTES;38,859791
U_SALIENTES;18,115335
U_SALIENTES;46,793640
U_SALIENTES;26,299404
U_SALIENTES;34,936420
U_SALIENTES;28,695549
U_SALIENTES;77,557861
U_ENTRANTES;64,607536
U_SALIENTES;36,849163
U_SALIENTES;14,571257
U_SALIENTES;34,463364
U_ENTRANTES;44,832996
U_SALIENTES;18,346937
U_SALIENTES;27,569004
U_SALIENTES;18,672567
U_ENTRANTES;42,380627
U_SALIENTES;28,445473
U_SALIENTES;38,632137
U_SALIENTES;68,541641
U_ENTRANTES;49,841076
U_SALIENTES;51,520893
U_ENTRANTES;48,911819
U_SALIENTES;24,904072
U_SALIENTES;59,640583
U_ENTRANTES;63,164112
